,Show name,Venue,Time,Show dates,Ticket price range,Ticket link,Description
Kuan-Wen Huang,Comedy with an Accent,Just the Tonic at The Caves - Just the Spare Room,11:40,"Aug 4-14, 16-28",£5,https://tickets.edfringe.com/whats-on/comedy-with-an-accent,
Jon Long,Jon Long: Still a Planet Killer,Just the Tonic @ The Mash House,13:20,Aug 16-28,£5,https://tickets.edfringe.com/whats-on/jon-long-still-a-planet-killer,
Jacob Hawley,Jacob Hawley: Bump,Monkey Barrel (The Hive) - Hive 1,13:25,"Aug 3-8, 10-28",£5-8,https://tickets.edfringe.com/whats-on/jacob-hawley-bump,
Mary O'Connell,Mary O'Connell: There's Something Wrong With Mary (WIP),PBH's Free Fringe @ Banshee Labyrinth,13:30,"Aug 6-15, 17-22, 24-28",Free,https://tickets.edfringe.com/whats-on/mary-o-connell-there-s-something-wrong-with-mary-wip,
Sasha Ellen,Character Building Experience ,Counting House Loft,13:45,4th-28th (not Tuesdays),PWYC (£2.50-£10),https://tickets.edfringe.com/whats-on/character-building-experience ,
Elly Shaw,This Girl Can't,Laughing Horse @ Dragonfly,14:00,"4th-28th August, not Mondays",PWYW,https://tickets.edfringe.com/whats-on/elly-shaw-and-elaine-fellows-this-girl-can-t,"Split bill comedy show with clown, Elly Shaw, and not clown, Elaine Fellows - two friends just trying their best."
Louisa Keight,Banana Split,"Three sisters, Wee Room",15:45,4th-14th,PWYW,https://tickets.edfringe.com/whats-on/banana-split-a-stand-up-comedy-show,Two hander
Sasha Ellen, Sasha Ellen: Creeps and Geeks,"Underbelly Bristow Square, Daisy",16:15,3rd-29th (not 16th), £7-£10,https://tickets.edfringe.com/whats-on/sasha-ellen-creeps-and-geeks ,
Ania Magliano-Wright,Ania Magliano: Absolutely No Worries If Not,Pleasance Courtyard (Bunker Three),16:35,"Aug 3-14, 16-28",£6-11,https://tickets.edfringe.com/whats-on/ania-magliano-absolutely-no-worries-if-not,
Cerys Bradley,Sportsperson,"Wee Room, Gilded Balloon",16:40,3rd-29th excl 15th, £8-11.50,https://tickets.gildedballoon.co.uk/event/14:3872/,"""a silly show about gender, sports and fitting in and how Cerys is quite bad at all of these things"""
